Dosis;PTV;Recto;Bufeta
5700;99;0;7,85147
5706;99;0;7,75336
5712;99;0;7,65392
5718;99;0;7,55422
5724;98;0;7,45428
5730;98;0;7,3555
5736;98;0;7,25642
5742;98;0;7,15522
5748;98;0;7,05322
5754;97;0;6,9502
5760;97;0;6,84716
5766;97;0;6,74452
5772;97;0;6,64245
5778;96;0;6,53975
5784;96;0;6,4367
5790;96;0;6,33273
5796;95;0;6,22813
5802;95;0;6,1223
5808;95;0;6,01424
5814;94;0;5,90773
5820;94;0;5,80121
5826;93;0;5,69597
5832;93;0;5,58889
5838;92;0;5,48258
5844;92;0;5,37552
5850;91;0;5,2681
5856;91;0;5,16179
5862;90;0;5,05693
5868;89;0;4,95143
5874;89;0;4,84333
5880;88;0;4,73588
5886;87;0;4,63121
5892;87;0;4,52654
5898;86;0;4,41969
5904;85;0;4,31195
5910;85;0;4,20539
5916;84;0;4,09817
5922;83;0;3,99371
5928;82;0;3,89011
5934;81;0;3,78638
5940;81;0;3,68109
5946;80;0;3,57474
5952;79;0;3,47318
5958;78;0;3,3706
5964;77;0;3,26765
5970;76;0;3,16449
5976;75;0;3,0637
5982;74;0;2,96216
5988;73;0;2,86408
5994;72;0;2,76243
6000;71;0;2,66365
6006;70;0;2,56266
6012;69;0;2,46552
6018;68;0;2,36872
6024;67;0;2,2725
6030;66;0;2,176
6036;65;0;2,08329
6042;64;0;1,99193
6048;63;0;1,90001
6054;62;0;1,80583
6060;61;0;1,71693
6066;59;0;1,62636
6072;58;0;1,53862
6078;57;0;1,44927
6084;56;0;1,36573
6090;55;0;1,28399
6096;54;0;1,20035
6102;52;0;1,11846
6108;51;0;1,043
6114;49,8713;0;0,967428
6120;48,6345;0;0,89488
6126;47,3408;0;0,82234
6132;46,0241;0;0,749971
6138;44,6655;0;0,686581
6144;43,3429;0;0,625205
6150;41,9605;0;0,564032
6156;40,4939;0;0,502941
6162;39,0017;0;0,450094
6168;37,5581;0;0,402199
6174;36,1463;0;0,355105
6180;34,6977;0;0,307992
6186;33,1706;0;0,268922
6192;31,6564;0;0,235086
6198;30,1318;0;0,200357
6204;28,6052;0;0,166227
6210;27,0745;0;0,141342
6216;25,4945;0;0,118965
6222;23,8731;0;0,0992236
6228;22,2353;0;0,0806408
6234;20,6298;0;0,0681751
6240;19,0321;0;0,0557486
6246;17,4598;0;0,0437586
6252;15,9267;0;0,0335876
6258;14,3814;0;0,0264306
6264;12,8305;0;0,0203436
6270;11,3209;0;0,0141723
6276;9,82398;0;0,00843739
6282;8,36605;0;0,00535129
6288;6,96075;0;0,00304356
6294;5,55724;0;0,00129674
6300;4,1836;0;0,000205536
6306;2,92E+00;0;8,51E-06
6312;1,87191;0;0
6318;1,17471;0;0
6324;0,713906;0;0
6330;0,41604;0;0
6336;0,230689;0;0
6342;0,135574;0;0
6348;0,0797732;0;0
6354;0,0460636;0;0
6360;0,0218314;0;0
6366;0,00660201;0;0
6372;0,000364764;0;0
