Dosis;PTV;Recto;Bufeta
1296;100;80,4854;84,0444
1302;100;80,3882;83,9312
1308;100;80,2918;83,8178
1314;100;80,1883;83,7042
1320;100;80,0797;83,5903
1326;100;79,9761;83,4763
1332;100;79,8645;83,3623
1338;100;79,7528;83,2479
1344;100;79,6371;83,1331
1350;100;79,5187;83,0183
1356;100;79,3989;82,9032
1362;100;79,2712;82,7875
1368;100;79,1514;82,6716
1374;100;79,0276;82,5554
1380;100;78,9001;82,4387
1386;100;78,7595;82,3218
1392;100;78,6274;82,2046
1398;100;78,4945;82,0871
1404;100;78,3556;81,9695
1410;100;78,2233;81,8517
1416;100;78,0677;81,7335
1422;100;77,9298;81,6147
1428;100;77,7901;81,4956
1434;100;77,6424;81,3765
1440;100;77,4797;81,2569
1446;100;77,3289;81,137
1452;100;77,1851;81,0169
1458;100;77,0269;80,8963
1464;100;76,862;80,7752
1470;100;76,6901;80,6535
1476;100;76,5268;80,5314
1482;100;76,3538;80,4092
1488;100;76,1713;80,2864
1494;100;75,9829;80,1629
1500;100;75,7961;80,0386
1506;100;75,6156;79,9137
1512;100;75,432;79,7887
1518;100;75,2417;79,6631
1524;100;75,0549;79,5377
1530;100;74,8615;79,4117
1536;100;74,6737;79,2855
1542;100;74,4909;79,159
1548;100;74,3085;79,0315
1554;100;74,1219;78,9038
1560;100;73,9239;78,7758
1566;100;73,7365;78,648
1572;100;73,5556;78,5191
1578;100;73,3739;78,39
1584;100;73,1849;78,2617
1590;100;72,9971;78,1324
1596;100;72,8106;78,0029
1602;100;72,6256;77,8734
1608;100;72,4474;77,7428
1614;100;72,2581;77,6125
1620;100;72,0735;77,4789
1626;100;71,8982;77,3437
1632;100;71,7133;77,2079
1638;100;71,5284;77,0708
1644;100;71,3374;76,9334
1650;100;71,1661;76,7935
1656;100;70,9847;76,6561
1662;100;70,801;76,5154
1668;100;70,6209;76,3741
1674;100;70,4349;76,2344
1680;100;70,251;76,0915
1686;100;70,0734;75,9506
1692;100;69,9026;75,8068
1698;100;69,7257;75,6657
1704;100;69,55;75,5259
1710;100;69,3746;75,382
1716;100;69,1936;75,2375
1722;100;69,0201;75,099
1728;100;68,8382;74,9594
1734;100;68,6548;74,8174
1740;100;68,4771;74,675
1746;100;68,3085;74,5304
1752;100;68,143;74,3874
1758;100;67,9657;74,2495
1764;100;67,789;74,1081
1770;100;67,6161;73,9658
1776;100;67,4397;73,8246
1782;100;67,262;73,6767
1788;100;67,0878;73,5341
1794;100;66,9141;73,3931
1800;100;66,7421;73,2501
1806;100;66,5758;73,1079
1812;100;66,4049;72,9608
1818;100;66,2215;72,8164
1824;100;66,0482;72,6716
1830;100;65,8822;72,5297
1836;100;65,7129;72,3833
1842;100;65,5359;72,2396
1848;100;65,3621;72,0929
1854;100;65,1918;71,9424
1860;100;65,0269;71,7994
1866;100;64,858;71,6476
1872;100;64,6831;71,5033
1878;100;64,5077;71,3549
1884;100;64,3375;71,2104
1890;100;64,1698;71,0602
1896;100;63,998;70,9138
1902;100;63,823;70,7596
1908;100;63,6514;70,6074
1914;100;63,4814;70,4646
1920;100;63,306;70,32
1926;100;63,1268;70,1685
1932;100;62,9594;70,0187
1938;100;62,7933;69,8732
1944;100;62,6283;69,7162
1950;100;62,4529;69,5645
1956;100;62,2818;69,4181
1962;100;62,1095;69,2767
1968;100;61,9426;69,1331
1974;100;61,7643;68,9813
1980;100;61,5837;68,8264
1986;100;61,416;68,6762
1992;100;61,2413;68,5281
1998;100;61,0657;68,3879
2004;100;60,8954;68,2422
2010;100;60,7329;68,0931
2016;100;60,5679;67,9413
2022;100;60,4003;67,7928
2028;100;60,225;67,6497
2034;100;60,0546;67,4996
2040;100;59,8763;67,3544
2046;100;59,7043;67,2103
2052;100;59,5366;67,0612
2058;100;59,3629;66,9091
2064;100;59,1953;66,7619
2070;100;59,0212;66,6142
2076;100;58,851;66,4692
2082;100;58,6825;66,3248
2088;100;58,5099;66,1818
2094;100;58,3274;66,0364
2100;100;58,1523;65,8806
2106;100;57,9793;65,7316
2112;100;57,794;65,5844
2118;100;57,6195;65,439
2124;100;57,4552;65,299
2130;100;57,2836;65,1576
2136;100;57,1066;65,0089
2142;100;56,935;64,8523
2148;100;56,7575;64,7054
2154;100;56,5719;64,5552
2160;100;56,3909;64,408
2166;100;56,2145;64,266
2172;100;56,0272;64,1261
2178;100;55,8481;63,9818
2184;100;55,6778;63,8427
2190;100;55,4969;63,6902
2196;100;55,3211;63,537
2202;100;55,1449;63,3864
2208;100;54,9613;63,24
2214;100;54,7802;63,1041
2220;100;54,6012;62,9655
2226;100;54,4253;62,8236
2232;100;54,2478;62,6784
2238;100;54,0618;62,5291
2244;100;53,89;62,3736
2250;100;53,7163;62,2319
2256;100;53,5344;62,0931
2262;100;53,3502;61,9598
2268;100;53,1749;61,8137
2274;100;52,9996;61,6684
2280;100;52,824;61,5155
2286;100;52,6386;61,371
2292;100;52,4607;61,2253
2298;100;52,2781;61,0883
2304;100;52,0755;60,9557
2310;100;51,8934;60,8134
2316;100;51,71;60,672
2322;100;51,532;60,5311
2328;100;51,3447;60,3813
2334;100;51,1657;60,2356
2340;100;50,9872;60,0989
2346;100;50,8022;59,9627
2352;100;50,611;59,8241
2358;100;50,4243;59,6887
2364;100;50,2429;59,5504
2370;100;50,0534;59,4066
2376;100;49,8725;59,2625
2382;100;49,6924;59,1226
